"f_proposer_index","f_slot","f_graffiti","f_pool_name"
313310,4700296,"RP-GN v1.6.2 gw:674505ff8544","rocket_pool"
333939,4700356,"RP-GL v1.6.3","rocket_pool"
411416,4700359,"teku/v22.9.0","rocket_pool"
405826,4700496,"RP-XT v1.6.3","rocket_pool"
312975,4700203,"RP-GN v1.6.2 gw:660470ffa275","rocket_pool"
416197,4700274,"Rocket Pool ⚡️Allnodes","rocket_pool"
409879,4700756,"RP-GL v1.6.3","rocket_pool"
277525,4700599,"RP-XT v1.6.2","rocket_pool"
256453,4701019,"RP-NL v1.6.3 gw:652505ffd58f","rocket_pool"
301366,4700871,"RP-GL v1.6.3","rocket_pool"
403933,4700888,"Rocket Pool ⚡️Allnodes","rocket_pool"
271864,4700030,"RP-NN v1.6.3 (meek was here)","rocket_pool"
388080,4702390,"RP-XL v1.6.3","rocket_pool"
313003,4701105,"RP-GN v1.6.2 gw:679498ffa06b","rocket_pool"
388859,4701120,"RP-NL v1.6.3 (Polpo","rocket_pool"
412155,4701123,"RP-GL v1.6.3 (&#127795;)","rocket_pool"
275152,4701153,"","rocket_pool"
406050,4701680,"RP-GP v1.6.3","rocket_pool"
352794,4701619,"RP-NL v1.6.3","rocket_pool"
261667,4702201,"Rocket Pool ⚡️Allnodes","rocket_pool"
274290,4702216,"RP-GN v1.6.3 (btlsndmdls2)","rocket_pool"
273227,4702227,"RP-XP v1.6.2 (Meong)","rocket_pool"
416577,4702275,"Rocket Pool ⚡️Allnodes","rocket_pool"
369008,4702463,"RP-GL v1.6.3 (squirrely node)","rocket_pool"
332229,4702543,"RP-GL v1.6.3","rocket_pool"
260562,4702579,"RP-GL v1.6.3 gw:684468fffffe","rocket_pool"
312979,4702392,"(o0o Dinochrome Brigade o0o)","rocket_pool"
395612,4702424,"RP-GL v1.6.2 (BOOOOTTTSSS)","rocket_pool"
313260,4702434,"RP-GL v1.6.3","rocket_pool"
267691,4703353,"RP-GL v1.6.3","rocket_pool"
291059,4702719,"RP-BT v1.6.3 (hitsuzen)","rocket_pool"
402660,4702930,"RP-GN v1.6.3 (420ishealing)","rocket_pool"
275127,4702951,"RP-XL v1.6.0 (Fuck Bitcoin)","rocket_pool"
402124,4703174,"RP-BL v1.6.3 (karilik)","rocket_pool"
313260,4703176,"RP-GL v1.6.3","rocket_pool"
299457,4703365,"Rocket Pool ⚡️Allnodes","rocket_pool"
329555,4703395,"RP-GN v1.6.2 gw:645489ffba6f","rocket_pool"
362098,4703594,"RP-GL v1.6.3 gw:640480ffebc9","rocket_pool"
395364,4703655,"RP-BN v1.6.3 (Digital State)","rocket_pool"
312071,4703698,"RP-GL v1.6.3","rocket_pool"
393469,4703757,"RP-GL v1.6.3 gw:658497ffb171","rocket_pool"
313100,4703768,"RP-GN v1.6.2 gw:656498ffb371","rocket_pool"
257558,4703899,"RP-GL v1.6.3","rocket_pool"
334402,4703403,"RP-XT v1.6.2","rocket_pool"
262076,4703442,"RP-GT v1.6.3 (|||)","rocket_pool"
292283,4703516,"Rocket Pool ⚡️Allnodes","rocket_pool"
292707,4703918,"RP-BT v1.6.3 gw:675478ff926e","rocket_pool"
314064,4704324,"RP-GL v1.6.2","rocket_pool"
308861,4704067,"RP-GL v1.6.3","rocket_pool"
276296,4704068,"Rocket Pool ⚡️Allnodes","rocket_pool"
411220,4704199,"RP-GL v1.6.3 gw:659477ffac76","rocket_pool"
405985,4704354,"Rocket Pool ⚡️Allnodes","rocket_pool"
279517,4704553,"Rocket Pool ⚡️Allnodes","rocket_pool"
314562,4704572,"RP-GL v1.6.3","rocket_pool"
344589,4704804,"RP-GT v1.6.3 (MR x KOC)","rocket_pool"
412156,4704816,"RP-GL v1.6.3 (&#127795;)","rocket_pool"
263372,4704876,"RP-GL v1.6.3","rocket_pool"
271088,4704891,"RP-GL v1.6.3","rocket_pool"
274403,4704900,"Rocket Pool ⚡️Allnodes","rocket_pool"
267962,4704905,"RP-XL v1.6.3 gw:647492ffbe6e","rocket_pool"
315035,4704954,"RP-GN v1.6.2 gw:660475ffa676","rocket_pool"
274582,4704967,"Rocket Pool ⚡️Allnodes","rocket_pool"
336192,4704976,"RP-GL v1.6.3 (fwdescape)","rocket_pool"
352902,4705284,"RP-GL v1.6.3 (J.Lohr PE)","rocket_pool"
332252,4705372,"RP-GL v1.6.3","rocket_pool"
271868,4705402,"RP-NN v1.6.3 (meek was here)","rocket_pool"
266966,4705519,"RP-NL v1.6.3","rocket_pool"
312923,4705529,"RP-GN v1.6.2 gw:670470ff9974","rocket_pool"
265498,4705566,"RP-GL v1.6.3 (cleaver)","rocket_pool"
422133,4705602,"RP-XL v1.6.2 (finiam)","rocket_pool"
324841,4705611,"RP-GL v1.6.3 (i <3 bananas)","rocket_pool"
262318,4705621,"RP-GL v1.6.3 (superphiz)","rocket_pool"
324856,4705632,"RP-GN v1.6.2 gw:666473ff9e74","rocket_pool"
313002,4705699,"RP-GN v1.6.2 gw:663499ffb875","rocket_pool"
